"COMID"	"QC_04"	"QC_05"	"QC_08"	"QC_MA"	"SLOPE"	"wetindexws"	"pctcarbresidws"	"pctglactilloamws"	"na2ows"	"rckdepws"	"pctglactilcrsws"	"pctcolluvsedws"	"sio2ws"	"k2ows"	"clayws"	"pcthydricws"	"pcteolcrsws"	"hydrlcondws"	"runoffws"	"pctglaclakecrsws"	"fe2o3ws"	"bfiws"	"p2o5ws"	"al2o3ws"	"omws"	"compstrgthws"	"kffactws"	"pctglactilclayws"	"wtdepws"	"caows"	"mgows"	"pctalluvcoastws"	"permws"	"pctsilicicws"	"elevws"	"pctcoastcrsws"	"pctnoncarbresidws"	"sandws"	"sws"	"nws"	"precip9120ws"	"tmax9120ws"	"tmean9120ws"	"tmin9120ws"	"wsareasqkmws"
14363152	0.941660478388442	0.819675519994359	0.42078061954873	0.689308859123709	-3.63270379843797	658.0262	0	0	0.58	88.254364671964	0	100	1605.27845218006	1.352	20.9513930103368	0	0	-1.23882418683674	0.499998008009463	0	3.148	33.599	-1.96697001012812	6.6755	-0.107422239990762	88.7169	0.3178	0	173.823768370719	1.35148625091898	0.585337535246481	0	8.82986709795373	0	7.90856361029936	0	0	29.0136024189579	0.0462219372220269	0.1944	1016.03735529199	150.107010529142	11.3645368808375	5.37386986827009	2.25033846102889
14363118	0.742096402303323	0.636989101812329	0.246990699241796	0.487421211359616	-3.92355243588622	652.7431	0	0	0.5832	90.1775211718929	0	100	1586.51892498006	1.3782	21.3360986495766	0	0	-1.23882418683674	0.499997936293353	0	3.1286	33.6442	-2.01443261664042	6.7836	-0.120217770228263	87.371	0.3176	0	173.597033646143	1.35412590579139	0.595959595959759	0	8.69977340352484	0	7.96984044180376	0	0	28.6266021972992	0.0288558093908504	0.1873	1018.68185069895	148.12014669757	11.2789638741463	5.31765008300172	1.8635577739215
14363114	0.682325618667897	0.582177037688523	0.195068996468867	0.426673888021535	-3.57378301661906	653.0071	0	0	0.5857	89.5243189017951	0	100	1589.72621012506	1.3932	21.2054329461457	0	0	-1.24336389174655	0.49999790668372	0	3.1274	33.6041	-2.06178737802972	6.8561	-0.115509469449753	87.8963	0.3179	0	173.674044350581	1.35206845942168	0.599423169364044	0	8.74395987328406	0	7.98733174459587	0	0	28.7192449841605	0.0151501032298909	0.1817	1018.66445719786	147.818513484994	11.2674702212012	5.31229171858685	1.74662168733704
14363078	0.948706308904901	0.835310000869126	0.405687786672948	0.686546899063096	-3.27072795744025	654.5275	0	0	0.4602	109.030091845699	0	100	1225.98167538005	1.0388	26.4059348294865	0	0	-1.4001169279154	0.499998098100195	0	2.6017	34.3073	-2.71149978835381	4.8667	-0.310156669106151	116.1149	0.3261	0	170.102724223305	1.47937493717419	0.738582594829232	0	6.85734685727977	0	8.40613326832644	0	0	22.0356121715518	-0.231361898751646	0.106	1035.89251031866	135.643801301587	10.7083076475202	4.91534943710966	2.15104484947809
14363106	0.516535373895932	0.429752280002569	0.0569048513368536	0.260786668655215	-2.26935103513718	659.7525	0	0	0.6045	85.6894997124784	0	100	1619.88720642006	1.4662	20.4383208740656	0	0	-1.23582386760219	0.499997801085962	0	3.1677	33.5737	-2.10352933865646	7.2309	-0.0889408094159307	84.8241	0.3181	0	174.126158711903	1.33364422683595	0.583818877975868	0	9.00336975273146	0	7.94919800486887	0	0	29.6515449492045	0.00419235626014443	0.1774	1017.66415414031	148.686420010917	11.3107750824804	5.34894712066322	1.43290337077247
14363486	1.26436913505164	1.1147777319716	0.695131297704114	1.01076623351847	-3.74850743856138	681.8384	0	0	0.5112	102.046532448765	0	100	1414.07741202005	1.1557	23.7847520362585	0	0	-1.31966448657637	0.49999810796411	0	2.8711	34.4583	-2.26927417143637	5.579	-0.24276856866032	105.0683	0.3201	0	169.838077377824	1.42768775030772	0.682358172924312	0	7.63117019180242	0	7.98689284711061	0	0	25.44882915134	-0.0605805966701835	0.1534	1018.05018222116	148.517064084805	11.2760597096821	5.28850961679027	2.81842216206667
14363102	1.06892761168211	0.945173046173949	0.510545010206746	0.810501347766597	-3.42358469387806	660.3022	0	0	0.4668	109.848454817334	0	100	1278.08659612505	1.0557	26.2245253034657	0	0	-1.41005039866313	0.499998102562082	0	2.6498	34.3879	-2.76261007803899	4.9774	-0.308896570651974	118.4876	0.3264	0	170.344193397056	1.46813401100607	0.736001478391791	0	6.95270744150589	0	8.35956224273518	0	0	22.2899525010262	-0.236946559699636	0.1044	1033.29069397056	137.094590967112	10.7784629920307	4.96762235201431	2.38980701896368
8431650	0.24723654950701	0.115610511674633	-0.156767221901368	0.00689370794832795	-2.55819483727457	596.4484	0	0	0.8265	76.1761235955056	0	100	2099.17552288006	2.3654	18.3356821829856	0	0	-1.24260397119938	0.499995894943391	0	3.6284	32.7566	-4.03361467457186	11.8768	-0.0271198594157807	70.254	0.3083	0	174.022985553772	0.68483653721678	0.377179870453801	0	9.62352327447833	0	7.31080483661168	0	0	32.2442295345104	-0.519418213169395	0.0571	1005.7609803344	161.01194719778	11.7778054260835	5.58298292217764	1.14248657291468
14363052	0.793930006772754	0.693814853889505	0.273232834043277	0.527758752521101	-2.82094296316988	652.9314	0	0	0.4486	111.562617702448	0	100	1186.57743004505	1.0085	27.5277495291902	0	0	-1.43651891459372	0.499998090107432	0	2.5389	34.2141	-2.92861151543183	4.7085	-0.352340802006189	121.1753	0.3278	0	169.201701977401	1.49151702441467	0.745326745785223	0	6.41735404896422	0	8.45527252136248	0	0	20.6434992937853	-0.31229272037429	0.0888	1037.84284580862	133.761657392996	10.6148480281309	4.84322658972928	1.84067375045139
14363020	0.0895518828868075	0.0468851908381	-0.348721986000887	-0.20830935097918	-2.34195410908529	660.3322	0	0	0.3457	116.873922651934	0	100	781.02788012504	0.789	31.1214917127072	0	0	-1.46852108294497	0.499998114808182	0	1.9684	34	-3.15175605471952	3.2048	-0.492361567617344	118.1839	0.33	0	166.096767955801	1.56032911117856	0.815644414947585	0	4.95259668508287	0	8.68426162387537	0	0	16.9435220994475	-0.612966298715856	0.0515	1042.40623853591	127.30548482457	10.326955688605	4.66735490382597	0.261346973115758
14363654	3.5737917027353	3.25237237231284	2.6686095300899	3.2499857347647	-6.83772230820884	697.2905	0	0	0.5882	98.2000386541596	0	93.87	1480.25731602005	1.5652	20.4960943861461	0	0	0.254789687397452	0.499998116374659	0	2.8304	39.5886	-2.85225597865643	7.6274	-0.480079038874499	75.4254	0.2978	0	156.842340438918	1.33525462536587	0.551187110094003	3.44	11.8112675275982	0	8.82310507243099	0	2.69	28.4851721422541	-0.295849483159343	0.1224	1095.64044444579	125.085143483642	10.1095447627021	4.37089519784712	5.56785437383515
14363678	3.57134913829567	3.25040267898126	2.66624271536967	3.24698774819314	-6.83772230820884	697.2589	0	0	0.5881	98.3530733219219	0	93.97	1477.97256642005	1.5656	20.5060300347698	0	0	0.214684930750866	0.49999811703476	0	2.8143	39.6504	-2.84938390379941	7.6264	-0.486533550696764	75.4323	0.2977	0	156.681795632455	1.33597312655429	0.551770506499529	3.3	11.8345625171385	0	8.83698248204812	0	2.72	28.4518769066635	-0.295163393787739	0.1227	1096.97361804842	124.603067355985	10.0868404495	4.35592986496671	5.56199538054758
14363286	3.57138432872138	3.25043073754543	2.66627643068602	3.24703102822689	-6.83772230820884	697.2561	0	0	0.5882	98.3519397129207	0	93.97	1478.04325840505	1.5656	20.505660030158	0	0	0.215002707215217	0.49999811703403	0	2.8145	39.6495	-2.84938390379941	7.6267	-0.486487604407207	75.4304	0.2977	0	156.68253912454	1.33593652471689	0.551750414631067	3.3	11.8338804271812	0	8.8367544117297	0	2.72	28.4526272611805	-0.295163393787739	0.1227	1096.95226896039	124.611349157949	10.087244274715	4.35621394300472	5.56208214963534
14368828	3.57134972094183	3.25040316697177	2.66624271536967	3.24698848595712	-6.83772230820884	697.2595	0	0	0.5881	98.3531960254774	0	93.97	1477.97256642005	1.5656	20.5060261147716	0	0	0.214684930750866	0.49999811703476	0	2.8143	39.6504	-2.84938390379941	7.6264	-0.4865360716713	75.4323	0.2977	0	156.681688647224	1.33597312655429	0.551770506499529	3.3	11.8345387590931	0	8.83697779362804	0	2.72	28.4518896174234	-0.295163393787739	0.1227	1096.97323477665	124.603221187256	10.0868479780993	4.35593520097018	5.56199691958891
14363638	3.56974658738335	3.24907551419956	2.66473596851871	3.24500725975168	-6.83772230820884	697.6243	0	0	0.5877	98.5332894043781	0	93.92	1474.02194300505	1.5626	20.5241471070145	0	0	0.217825980900115	0.499998117053031	0	2.8118	39.681	-2.84651650412557	7.6119	-0.491921998229782	75.472	0.2976	0	156.539058623206	1.33755583832555	0.552632756229789	3.33	11.8526566659764	0	8.84601128856248	0	2.75	28.4193203232928	-0.294478386576477	0.1231	1097.8519392898	124.276214922549	10.0705768756464	4.34408101818085	5.55826280117776
14363620	3.56797641938881	3.24753998263467	2.66311456190196	3.24280843234191	-5.20840585289322	697.7935	0	0	0.5873	98.5205449794761	0	93.87	1472.33353800005	1.5633	20.5036123464309	0	0	0.19972775880733	0.499998117071301	0	2.802	39.7113	-2.84938390379941	7.6135	-0.494748766370379	75.3301	0.2974	0	156.420254419188	1.33787900752177	0.552692789407965	3.36	11.8836314075951	0	8.85353363312605	0	2.77	28.4366438988626	-0.296364762415245	0.1228	1098.5766184326	124.007973353978	10.0569977673934	4.33390808790837	5.55471954374042
14363466	1.30137729234937	1.15682163559166	0.722716167488577	1.04832525093126	-3.60612224692426	668.9996	0	0	0.5486	122.356132431378	0	100	1734.31115612506	1.2185	29.4819532977755	0	0	-1.48945498977998	0.499998088488632	0	3.1136	35.7625	-3.20326230704258	6.2045	-0.471045202008757	136.809	0.3284	0	168.129840965266	1.36681906025641	0.605755962941216	0	5.77670872902303	0	8.14826095117613	0	0	18.4056832964746	-0.254300773396714	0.0954	1025.95738119995	142.986223915888	11.0253036664196	5.11025394625049	2.82545999053722
8431772	0.24723654950701	0.115943176939388	-0.156767221901368	0.00689370794832795	-5.01252161294598	596.5809	0	0	0.8265	76.1956940358385	0	100	2099.17552288006	2.3654	18.3367584915753	0	0	-1.24260397119938	0.499995894943391	0	3.6284	32.7566	-4.03361467457186	11.8768	-0.0272088308831679	70.254	0.3083	0	174.003260230008	0.68483653721678	0.377179870453801	0	9.6218668093073	0	7.31062143407867	0	0	32.2431158063653	-0.519418213169395	0.0571	1005.75777461093	161.013745323728	11.7778819151246	5.58303705195629	1.14272349668137
14363066	1.16832066551889	1.03774512926963	0.60390183173178	0.914078585389165	-3.42933802130705	675.9709	0	0	0.5275	120.62770807482	0	100	1573.84560712006	1.1654	29.8421715152351	0	0	-1.47625353317543	0.49999807745511	0	2.9705	35.4798	-3.15345054473159	5.8658	-0.47254214015291	133.2824	0.33	0	167.64229789972	1.4148719085717	0.63133640553009	0	5.58531550163151	0	8.22928990564681	0	0	18.0186492945448	-0.276462238467122	0.0913	1030.7297568448	140.152136581142	10.9033954519449	5.03461414908819	2.57302681611749
14362984	0.740283719681958	0.647774050268928	0.233503760341388	0.481155870828179	-3.20091695563327	703.2222	0	0	0.5244	122.599340101523	0	100	1589.92924040506	1.1653	29.633883248731	0	0	-1.48412615627508	0.499998114808182	0	2.9748	35.1312	-3.1859377676008	5.8475	-0.477059322672039	134.0608	0.33	0	168.000031725888	1.40901039042944	0.643417486806574	0	5.71515228426396	0	8.35693742374922	0	0	18.1360444162437	-0.275150912369796	0.0921	1030.69523501396	136.588420643237	10.7312137854315	4.90406724746447	1.77902878986825
14362942	0.197004728023322	0.147057671028669	-0.236572006436314	-0.0705810742851964	-2.78778154538803	709.4002	0	0	0.4606	123.489475620975	0	100	1253.80870660505	1.0205	29.4026034958602	0	0	-1.5072396109592	0.499998114808182	0	2.6022	35	-3.36661884910284	4.8978	-0.474819337932216	132.1521	0.33	0	168.29593376265	1.48797669380717	0.721332032882898	0	5.83370745170193	0	8.51115929629851	0	0	18.3772493100276	-0.431915668683432	0.0668	1030.45409235511	133.051265450997	10.5659961538178	4.78965803822447	0.649177889519805
14363032	2.28661812116171	2.05666478014964	1.54265117645542	2.00983317860857	-2.45515535118993	693.6167	0	0	0.5762	113.450555646347	0	82.38	1265.67197088005	1.3055	24.2180466208085	0	0	-1.08092190761869	0.499998100775512	0	2.6514	36.3405	-2.90180846615274	6.5704	-0.483766486192604	101.3719	0.2907	0	160.896473577085	1.46471802399409	0.634689851684213	0	10.7607248287748	0	8.26507211768466	0	17.62	25.8030661575718	-0.451364940184021	0.0641	1031.02643659282	137.134499942056	10.7063717137122	4.82169270648667	4.22951223554321
14363022	2.28287803785519	2.05333971023201	1.53898822685824	2.00578518545238	-4.33163821979242	693.874	0	0	0.577	113.474836259265	0	82.18	1266.05445000005	1.3075	24.2064646878275	0	0	-1.0783135245112	0.499998100614856	0	2.6508	36.3393	-2.90328702428601	6.5823	-0.486022725130707	101.2626	0.2904	0	160.797438416428	1.46443405882756	0.634636463281098	0	10.8010924439202	0	8.2708816432849	0	17.82	25.8273988196091	-0.455064234117259	0.0636	1031.22107663617	136.902601882962	10.6948746048921	4.81269681183893	4.22298082692466
14363028	2.28332837126047	2.05372364073838	1.53945249154947	2.00626917452049	-6.83772230820884	693.9927	0	0	0.5771	113.432995761281	0	82.2	1266.51752832005	1.3079	24.1977139802693	0	0	-1.07883394935705	0.499998100636327	0	2.6517	36.3415	-2.90180846615274	6.5841	-0.485380688737056	101.2078	0.2905	0	160.805276041862	1.46427845397961	0.634516282299757	0	10.7980885629619	0	8.26952994055556	0	17.8	25.8355163359466	-0.453457336520635	0.0638	1031.18094904634	136.95005036199	10.697231989573	4.81454799286089	4.22385624757809
14363008	2.27750377909947	2.04859715840161	1.53361955841878	1.99995222497932	-4.94974377106379	693.8321	0	0	0.5778	113.512901837912	0	81.87	1268.96519442005	1.3085	24.2046311184135	0	0	-1.07572071393295	0.499998100372723	0	2.6511	36.3366	-2.91069824678671	6.5911	-0.488564957676151	101.4204	0.29	0	160.705631500516	1.46365853269763	0.634943233672969	0	10.8628625960032	0	8.28182431256782	0	18.13	25.8424096519048	-0.460547508449285	0.0629	1031.57083390707	136.498057480611	10.6748788891043	4.79713337681155	4.21326246402581
14362988	2.27259805966503	2.04426529991532	1.52858249904386	1.99462505376861	-4.66040213300757	693.2274	0	0	0.5739	114.157760952832	0	81.57	1257.54289618005	1.292	24.3036536504261	0	0	-1.07314329104517	0.499998100132766	0	2.6355	36.3201	-2.90033113303535	6.5088	-0.500272036731086	101.9419	0.2897	0	160.460693880088	1.46715902107737	0.637326369999769	0	10.8815666493151	0	8.29513243516988	0	18.43	25.7325447708432	-0.461049437984383	0.0628	1032.04990625813	136.002985939629	10.6505559566408	4.7784572724793	4.20377440590955
14362956	2.26399093268132	2.03652110670207	1.52018210770694	1.98525128379102	-4.99523456991172	693.867	0	0	0.5728	114.452203746764	0	81.09	1253.36297992005	1.2865	24.3136738153261	0	0	-1.06905096882739	0.499998099741627	0	2.6273	36.3256	-2.90328702428601	6.4841	-0.509527238380932	102.1195	0.2889	0	160.150532858972	1.46838208810223	0.638401735671799	0	10.9632857376467	0	8.31097126369649	0	18.91	25.7487989534267	-0.465212641369241	0.0623	1032.57397021336	135.39941523314	10.6205378200278	4.75498736415446	4.18860099905108
14362954	2.25937404827321	2.03225602589046	1.51575466119087	1.98012613905735	-4.04301780188187	694.8907	0	0	0.5736	114.311754505862	0	80.83	1258.41082420505	1.2903	24.2594953677681	0	0	-1.06651271214623	0.499998099533415	0	2.6312	36.3301	-2.91515978423111	6.5064	-0.510498140100704	102.1225	0.2884	0	160.020107687766	1.46712308750489	0.6378386208896	0	11.0270219459822	0	8.31734789533253	0	19.17	25.8303224971592	-0.465466243993616	0.0624	1032.78705475635	135.139426320977	10.6076769356787	4.74504855729025	4.18065053124317
14362856	2.10539435746381	1.89005755734057	1.37320634014297	1.8129734855623	-4.08749923390704	701.5833	0	0	0.5668	116.491314563575	0	73.66	1309.76435960505	1.3405	23.4817878905984	0	0	-1.02918838912284	0.499998100089065	0	2.6255	36.6376	-3.2472735583672	6.8115	-0.589127467863517	101.1635	0.2798	0	156.917751031594	1.45504896386478	0.632771473688211	0	12.4114002462216	0	8.45422015566403	0	26.34	27.0885128338375	-0.56735133998529	0.0531	1039.4775490315	129.515252607108	10.3065128612788	4.48772251822515	3.92263260400526
14363562	3.47728220338031	3.16631641860709	2.58505670416754	3.13294741819785	-6.83772230820884	706.4346	0	0	0.5797	98.6967862368975	0	96.3	1423.08610460505	1.5848	20.0361518732475	0	0	-0.110866444032715	0.499998125486598	0	2.7172	40.054	-2.72881392935255	7.7191	-0.675529525464128	70.5365	0.2928	0	153.335971522721	1.33307021468163	0.564403014331331	1.55	12.8488833561296	0	9.12610709300202	0	2.15	28.3545310711164	-0.254925208417161	0.15	1140.09169136279	112.935919461708	9.57073241637838	4.07936872161973	5.3823682942116
14362948	2.23320685715657	2.00800367184016	1.49066065335615	1.95112857969891	-4.50831444267281	699.9363	0	0	0.5792	113.775084910195	0	79.29	1288.28121904505	1.3146	23.8072954595114	0	0	-1.06198090251878	0.499998098304934	0	2.6534	36.3804	-2.9896436235708	6.6536	-0.513451030752673	102.0053	0.2852	0	159.404953808504	1.46007436423598	0.630928215538058	0	11.4662650439191	0	8.35084431118568	0	20.71	26.4600712756195	-0.471211808223818	0.0625	1033.85708528012	133.853454524205	10.543224530698	4.69442223304369	4.13574229628479
14362916	2.19351695646258	1.97166078964954	1.45313479655686	1.90754033998117	-3.94594146026331	703.3979	0	0	0.5713	116.180190385014	0	79.21	1257.94421298005	1.2969	24.1837987682711	0	0	-1.05502409158302	0.499998096178787	0	2.6045	36.4112	-3.11153967627278	6.5823	-0.563142486317015	103.3861	0.2844	0	158.340203906397	1.4691784693476	0.636231356857171	0	11.5686933607051	0	8.41305839180233	0	20.79	26.0766286357221	-0.546834607472613	0.0538	1036.84772252851	131.477673037634	10.4212583490649	4.59609168050316	4.06475688535217
14362900	2.18887788339784	1.96749649429584	1.44856719974811	1.90233474402215	-4.05793532881405	704.2996	0	0	0.5721	116.240073378309	0	78.89	1266.64841362005	1.3017	24.1285555900839	0	0	-1.05650548408895	0.499998095888244	0	2.6104	36.4175	-3.13993709284789	6.6147	-0.566825635307352	103.5944	0.2838	0	158.171698427178	1.46747265813787	0.634155264505878	0	11.6504398688814	0	8.42355485878904	0	21.11	26.1506242168469	-0.550213153012685	0.0537	1037.2693300153	131.065010784433	10.4006812350526	4.58037470576645	4.05561565439773
14362872	2.1180496755865	1.90160542259132	1.38514134760468	1.82728524962474	-4.08556315599913	700.5806	0	0	0.5635	116.38810348514	0	74.71	1287.04273604505	1.3269	23.5370650702017	0	0	-1.03810452632741	0.49999810068075	0	2.6123	36.6121	-3.20326230704258	6.7432	-0.579242862181569	100.8678	0.2814	0	157.330755470031	1.46074794965661	0.634876588286974	0	12.2672194307842	0	8.43350096618876	0	25.29	26.99266024042	-0.552376902238164	0.0548	1038.3425183802	130.325583549752	10.3482713747729	4.52107073924073	3.94736649957148
14362842	2.09702117816689	1.88235374638872	1.36513216696471	1.80362096944471	-3.64666833159785	701.8765	0	0	0.5623	116.608659486288	0	72.98	1302.87288484505	1.3399	23.6393974955414	0	0	-1.02918838912284	0.499998099705322	0	2.6151	36.6541	-3.26696243357665	6.8086	-0.588457753156279	100.8761	0.2804	0	157.083334243045	1.45689257658384	0.63266355655158	0	12.2677065734106	0	8.46248718629856	0	27.02	26.870571087656	-0.577246058697011	0.0521	1040.00098808748	129.145272381267	10.2863295838994	4.47032981137539	3.90706223884158
14363048	3.47727945385904	3.16631434576142	2.58505444598663	3.13294422049214	-6.83772230820884	706.4347	0	0	0.5797	98.6971572357288	0	96.3	1423.07543284505	1.5848	20.0361794480964	0	0	-0.110866444032715	0.499998125486598	0	2.7172	40.054	-2.72881392935255	7.7191	-0.675546595754217	70.5364	0.2928	0	153.335628822297	1.33307392274145	0.564403014331331	1.55	12.8489316217031	0	9.12612723988126	0	2.15	28.3544694592386	-0.254925208417161	0.15	1140.09397374463	112.935102811708	9.57069009526345	4.07933829366524	5.38236115051474
14363552	3.4772363275109	3.16627762514095	2.58501831349508	3.13288921626846	-3.97640530070677	706.4412	0	0	0.5797	98.7030757487616	0	96.3	1422.97938880505	1.5849	20.0366193473324	0	0	-0.110810387952366	0.499998125489501	0	2.7172	40.0542	-2.72881392935255	7.7192	-0.675815356940486	70.5356	0.2928	0	153.330161751373	1.33309616980162	0.564421987978237	1.55	12.8497015983216	0	9.12644430908399	0	2.15	28.3534736110298	-0.254847104922319	0.15	1140.12989101995	112.921989380123	9.57001361613461	4.07885666838701	5.38224720127495
14363560	3.47765481950542	3.16662368255419	2.58540206759083	3.1334105170543	-4.9225249657766	706.7121	0	0	0.5802	98.7271853975023	0	96.3	1424.12145544505	1.5863	20.035010679511	0	0	-0.0995782465417162	0.499998125463369	0	2.7208	40.0508	-2.73015307749084	7.7269	-0.675632340568513	70.5243	0.2929	0	153.310986671573	1.33259878777743	0.564137209606606	1.55	12.8376127845767	0	9.1232840582318	0	2.15	28.3599113411836	-0.25523776293364	0.1498	1139.77868175359	113.052022577749	9.57678728311078	4.08377158046833	5.38337196479557
14363548	3.47715310181396	3.1662044707808	2.58494378073586	3.13278206594754	-6.83772230820884	706.4575	0	0	0.5798	98.7016039370232	0	96.31	1423.23551344505	1.5852	20.037028545729	0	0	-0.110642263110508	0.499998125493857	0	2.7175	40.0547	-2.72881392935255	7.7209	-0.675958514510359	70.5183	0.2928	0	153.331269573676	1.33290699879331	0.564365062078168	1.54	12.8520844727949	0	9.12692478605086	0	2.16	28.3523435669434	-0.254769015471078	0.15	1140.19372318037	112.901677120319	9.56898003930728	4.0781383660411	5.3820412080908
